5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,LabelBox
4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,LabelBox
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,LabelBox
5,0,0,0,0,0,0,8,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,XOR
4,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,NOT
2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AND
3,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NOR
2,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,OR
4,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NOT
3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NAND
5,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,LabelBox
5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,LabelBox
5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,LabelBox
7,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,LabelBox
5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,LabelBox
2,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AND
4,0,0,0,0,10,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,NOT
2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AND
