@RELATION zernikeFeatures

@ATTRIBUTE A20 NUMERIC
@ATTRIBUTE A22 NUMERIC
@ATTRIBUTE A31 NUMERIC
@ATTRIBUTE A33 NUMERIC
@ATTRIBUTE A40 NUMERIC
@ATTRIBUTE A42 NUMERIC
@ATTRIBUTE A43 NUMERIC
@ATTRIBUTE A51 NUMERIC
@ATTRIBUTE A53 NUMERIC
@ATTRIBUTE A55 NUMERIC
@ATTRIBUTE A60 NUMERIC
@ATTRIBUTE A62 NUMERIC
@ATTRIBUTE A64 NUMERIC
@ATTRIBUTE A66 NUMERIC
@ATTRIBUTE A71 NUMERIC
@ATTRIBUTE A73 NUMERIC
@ATTRIBUTE A75 NUMERIC
@ATTRIBUTE A77 NUMERIC
@ATTRIBUTE A80 NUMERIC
@ATTRIBUTE A82 NUMERIC
@ATTRIBUTE A84 NUMERIC
@ATTRIBUTE A86 NUMERIC
@ATTRIBUTE A88 NUMERIC
@ATTRIBUTE A91 NUMERIC
@ATTRIBUTE A93 NUMERIC
@ATTRIBUTE A95 NUMERIC
@ATTRIBUTE A97 NUMERIC
@ATTRIBUTE A99 NUMERIC
@ATTRIBUTE A100 NUMERIC
@ATTRIBUTE A102 NUMERIC
@ATTRIBUTE A104 NUMERIC
@ATTRIBUTE A106 NUMERIC
@ATTRIBUTE A108 NUMERIC
@ATTRIBUTE A1010 NUMERIC
@ATTRIBUTE class {AND,OR,NAND,NOR,NOT,XOR,NOTBUBBLE}

@DATA
206.264806247096,157.865196802784,820.028223372591,333.973954899096,572.957795130823,2367.97795204177,679.901985945017,3075.10583764722,6011.53118818372,1358.3711167783,1122.99727845641,11050.5637761949,14277.9417048454,2686.62311275753,7653.59675147752,33397.3954899096,32600.9068026791,5281.56375681116,1856.38325622387,33151.6913285847,91786.7681025773,72538.8240444534,10339.9631886273,15375.5291882361,116890.884214683,237714.945436202,158446.912704335,20178.442575318,2773.11572843318,78143.2724173783,366467.170424364,591057.084806657,341218.7852247,39272.4930407459,AND
194.80565034448,161.057362287806,796.512650222659,364.265150845903,541.126806512444,2415.86043431709,803.295853041583,2986.92243833497,6556.77271522625,1753.82936545478,1060.60854076439,11274.0153601464,16869.2129138732,3810.92095715042,7434.11806874481,36426.5150845903,42091.9047709148,8255.11068563041,1753.25085310032,33822.0460804393,108444.940160614,102894.865843061,17834.5822140865,14934.6121916749,127492.802796066,306920.138954587,247653.320568912,38432.9427988769,2619.05374352023,79723.3943324639,432976.464789413,838402.610573091,588541.213064853,82619.2904861718,AND
171.887338539247,145.872202035101,718.203939467588,326.579483483532,477.464829275686,2188.08303052651,705.087835469669,2693.26477300346,5878.43070270357,1495.90982203913,935.831065380345,10211.0541424571,14806.844544863,3143.89574366763,6703.23676836416,32657.9483483532,35901.8357289391,6568.7487510041,1546.98604685322,30633.1624273712,95186.8577884052,84885.185079026,13666.4286491584,13466.3238650173,114302.819219236,261784.218856848,197062.462530123,28334.9912531191,2310.92977369432,72206.7400073749,380042.343318151,691657.063606879,450992.145422226,58569.0500067493,AND
194.80565034448,129.437603266631,726.865625435823,250.084600778467,541.126806512444,1941.56404899947,460.143548088404,2725.74609538433,4501.5228140124,824.317656853337,1060.60854076439,9060.6322286642,9663.01450985649,1453.64076127354,6784.07917073434,25008.4600778467,19783.6237644801,2538.27927150124,1753.25085310032,27181.8966859926,62119.3789919346,39248.3005543856,4403.30890667806,13628.7304769217,87529.6102724634,144255.589949334,76148.3781450373,7603.40815245045,2619.05374352023,64071.6136169826,248017.37241965,319800.967480179,145309.193920376,13083.3857927591,AND
174.752127514901,107.687646624432,627.126738678968,201.063250812437,485.422576430281,1615.31469936648,358.100951634698,2351.72527004613,3619.13851462386,621.719810875273,951.42824980335,7538.13526371023,7520.11998432865,1063.37829741754,5853.18289433703,20106.3250812437,14921.2754610065,1801.77356777119,1572.76914763411,22614.4057911307,48343.6284706842,28711.2140302736,3033.64060921698,11758.6263502306,70372.1377843529,108800.966903173,54053.2070331357,5084.40279437272,2349.44526992256,53305.3850790938,193016.412931102,233943.225431859,100110.14010416,8491.35159789296,AND
206.264806247096,110.932682295116,692.593052928247,192.674225842595,572.957795130823,1663.99023442674,318.51232481865,2597.22394848093,3468.1360651667,512.372884932254,1122.99727845641,7765.2877606581,6688.75882119166,810.923298913394,6464.20182733031,19267.4225842595,12296.9492383741,1270.2239782849,1856.38325622387,23295.8632819743,42999.1638505178,21894.9290706616,1975.79740881109,12986.1197424046,67435.9790449081,89665.2548631445,38106.7193485469,3057.84910377212,2773.11572843318,54911.6777360823,171678.143077253,178403.125760947,65201.314490766,4714.24651625257,AND
189.076072393172,119.324072077264,687.98306990488,224.286542992855,525.211312203255,1789.86108115896,401.082511971968,2579.9365121433,4037.15777387139,697.776174014675,1029.41417191838,8352.68504540847,8422.73275141132,1194.2606619574,6421.17531911222,22428.6542992855,16746.6281763522,2023.09783262809,1701.68465153855,25058.0551362254,54146.1391162156,32245.0378728498,3403.85821602047,12899.6825607165,78500.2900474992,122110.830452568,60692.9349788426,5699.62759764252,2542.02275106375,59065.4156782456,216183.473952891,262737.345630628,112327.321128675,9509.86859859326,AND
243.5070629306,155.868615492773,870.786185118166,313.766584010062,676.408508140555,2338.0292323916,616.185692565567,3265.44819419312,5647.79851218112,1195.63575374543,1325.76067595549,10910.8030844941,12939.8995438769,2302.48847470578,8127.33772776956,31376.6584010062,28695.2580898904,4408.5165168492,2191.5635663754,32732.4092534824,83185.0684963515,62167.1888170559,8400.51686255155,16327.2409709656,109818.304403522,209236.256905451,132255.495505476,15941.891992942,3273.81717940029,77154.9646689228,332124.08829284,506547.46443527,277217.056464201,30147.0611301124,AND
246.371851906254,181.060264258468,930.828981984952,404.628538220983,684.36625529515,2715.90396387703,894.328629150457,3490.60868244357,7283.31368797769,1968.60784645534,1341.35786037849,12674.2184980928,18780.9012121596,4319.5685277539,8687.73716519289,40462.8538220983,47246.5883149281,9446.97660349262,2217.34666715629,38022.6554942784,120734.364935312,116628.350249355,20592.2914906156,17453.0434122179,141619.988377344,344506.373129684,283409.298104779,44745.2234554831,3312.33267562853,89624.8308079419,482043.131112096,950305.076105858,679545.619190316,96947.5767795686,AND
226.318329076675,169.214541480589,880.18186589361,363.530273785796,628.662025212987,2538.21812220884,760.545339976075,3300.68199710103,6543.54492814433,1573.25718720806,1232.17756941745,11845.0179036412,15971.4521394976,3235.09609643743,8215.03074834035,36353.0273785796,37758.1724929935,6625.00524818475,2036.86496169008,35535.0537109237,102673.62089677,87347.5946038108,13520.1114636889,16503.4099855052,127235.595825029,275320.007761411,198750.157445543,27504.5162672596,3042.72420203086,83761.1980328916,409933.938247105,711721.141216235,446163.678301735,55791.0673291547,AND
