@RELATION zernikeFeatures

@ATTRIBUTE A20 NUMERIC
@ATTRIBUTE A22 NUMERIC
@ATTRIBUTE A31 NUMERIC
@ATTRIBUTE A33 NUMERIC
@ATTRIBUTE A40 NUMERIC
@ATTRIBUTE A42 NUMERIC
@ATTRIBUTE A43 NUMERIC
@ATTRIBUTE A51 NUMERIC
@ATTRIBUTE A53 NUMERIC
@ATTRIBUTE A55 NUMERIC
@ATTRIBUTE A60 NUMERIC
@ATTRIBUTE A62 NUMERIC
@ATTRIBUTE A64 NUMERIC
@ATTRIBUTE A66 NUMERIC
@ATTRIBUTE A71 NUMERIC
@ATTRIBUTE A73 NUMERIC
@ATTRIBUTE A75 NUMERIC
@ATTRIBUTE A77 NUMERIC
@ATTRIBUTE A80 NUMERIC
@ATTRIBUTE A82 NUMERIC
@ATTRIBUTE A84 NUMERIC
@ATTRIBUTE A86 NUMERIC
@ATTRIBUTE A88 NUMERIC
@ATTRIBUTE A91 NUMERIC
@ATTRIBUTE A93 NUMERIC
@ATTRIBUTE A95 NUMERIC
@ATTRIBUTE A97 NUMERIC
@ATTRIBUTE A99 NUMERIC
@ATTRIBUTE A100 NUMERIC
@ATTRIBUTE A102 NUMERIC
@ATTRIBUTE A104 NUMERIC
@ATTRIBUTE A106 NUMERIC
@ATTRIBUTE A108 NUMERIC
@ATTRIBUTE A1010 NUMERIC
@ATTRIBUTE class {AND,OR,NAND,NOR,NOT,XOR,NOTBUBBLE}

@DATA
234.912696003638,1215220.66963753,41939.8705913809,535361172.245049,652.535266676771,18228310.0445629,250904778617.195,157274.514717678,9636501100.41088,119904017034707,1278.96912268647,85065446.8746268,5269000350961.1,5.77902381611436E+16,391438.792186222,53536117224.5049,2.87769640883296E+15,2.79865327510713E+19,2114.21426403274,255196340.623881,33872145113321.4,1.56033643035088E+18,1.35942332207473E+22,786372.573588392,187376410285.767,2.09832029810737E+16,8.3959598253214E+20,6.61651310121794E+24,3158.27069071557,601534231.470576,135237675674668,1.27138523954516E+19,4.48609696284662E+23,3.2246825011712E+27,AND
280.749319614103,1109007.6566921,44003.8549253097,436957472.545481,779.859221150287,16635114.8503814,184138614872.506,165014.455969911,7865234505.81865,78781972394427.9,1528.52407345456,77630535.9684467,3866910912322.62,3.38062506954728E+16,410702.645969557,43695747254.5481,1.89076733746627E+15,1.45078346499693E+19,2526.74387652693,232891607.90534,24858713007788.3,9.12768768777765E+17,6.2221193772086E+21,825072.279849557,152935115390.918,1.37868451690249E+16,4.35235039499079E+20,2.66650961952627E+24,3774.51863036739,548958790.062587,99250713416280.5,7.43737515300402E+18,2.05329939447884E+23,1.1418889299439E+27,AND
297.938053468028,1516883.6759541,50599.3072570127,686285816.305194,827.605704077856,22753255.1393114,323655137222.215,189747.402213798,12353144693.4935,153840956239168,1622.1071799926,106181857.316787,6796757881666.52,7.32324482808989E+16,472260.201065452,68628581630.5194,3.69218294974003E+15,3.4860211593375E+19,2681.44248121225,318545571.95036,43693443524999,1.97727610358427E+18,1.65871154625779E+22,948737.011068988,240200035706.818,2.69221673418544E+16,1.04580634780125E+21,7.88819494721598E+24,4005.61160773682,750857419.597278,174450118962774,1.61111386217977E+19,5.47374810265072E+23,3.74926221821522E+27,AND
254.966218833216,955644.47747981,37812.6250022908,391029415.188918,708.239496758934,14334667.1621972,173027861588.925,141797.34375859,7038529473.40053,78228386520744.4,1388.14941364751,66895113.4235867,3633585093367.42,3.56272890229297E+16,352917.833354714,39102941518.8918,1.87748127649787E+15,1.62747079115738E+19,2294.69596949895,200685340.27076,23358761314504.8,9.61936803619102E+17,7.44453967010438E+21,708986.718792952,136860295316.122,1.36899676411303E+16,4.88241237347214E+20,3.40735885829183E+24,3427.87916431324,473044016.352506,93262017396430.5,7.83800358504453E+18,2.45669809113445E+23,1.55980688618455E+27,AND
240.642273954946,998022.284013016,38316.9545681202,408497015.47757,668.450760985961,14970334.2601952,180952803412.535,143688.579630451,7352946278.59625,82209918642619.4,1310.16349153248,69861559.8809111,3800008871663.23,3.77150335131963E+16,357624.909302455,40849701547.757,1.97303804742286E+15,1.73784260713308E+19,2165.78046559451,209584679.642733,24428628460692.2,1.0183059048563E+18,8.02466103197724E+21,718442.898152254,142973955417.149,1.43867357624584E+16,5.21352782139925E+20,3.70917640975197E+24,3235.30168317205,494021030.586443,97533561039356.2,8.29730737290318E+18,2.64813814055249E+23,1.71513740007919E+27,AND
243.5070629306,920655.87232446,38400.0082065327,333925868.209395,676.408508140555,13809838.0848669,130088868781.263,144000.030774498,6010665627.76911,51916045478070.3,1325.76067595549,64445911.0627122,2731866244406.53,2.092213059288E+16,358400.076594305,33392586820.9395,1.24598509147369E+15,8.47216502421371E+18,2191.5635663754,193337733.188137,17561997285470.5,5.6489752600776E+17,3.43988867880499E+21,720000.153872488,116874053873.288,9.0853079586623E+15,2.54164950726411E+20,1.39888851726773E+24,3273.81717940029,455724656.800608,70117900273100.9,4.6028687304336E+18,1.13516326400565E+23,5.69425673056906E+26,AND
229.183118052329,1086482.90258033,38213.4302258579,472049497.725644,636.619772367581,16297243.5387049,217592969884.913,143300.363346967,8496890959.06159,102004983996660,1247.77475384046,76053803.180623,4569452367583.18,4.81100869144541E+16,356658.682108007,47204949772.5644,2.44811961591983E+15,2.27501185847254E+19,2062.64806247096,228161409.541869,29375050934463.3,1.29897234669026E+18,1.0770796602977E+22,716501.816734835,165217324203.975,1.78508721994154E+16,6.82503557541762E+20,5.10188712458168E+24,3081.23969825909,537809036.777263,117282610767968,1.05842191211799E+19,3.5543628789824E+23,2.41697989990334E+27,OR
240.642273954946,1003407.50455767,38103.8403049963,410853338.83068,668.450760985961,15051112.5683651,180523787861.654,142889.401143736,7395360098.95225,81021561314224.4,1310.16349153248,70238525.3190371,3790999545094.74,3.66526382341162E+16,355635.842846632,41085333883.068,1.94451747154139E+15,1.66402331901162E+19,2165.78046559451,210715575.957111,24370711361323.3,9.89621232321137E+17,7.56803945936979E+21,714447.005718681,143798668590.738,1.41787732299893E+16,4.99206995703486E+20,3.44502408820529E+24,3235.30168317205,496686714.756048,97302321657431.7,8.06358041150556E+18,2.49745302159203E+23,1.56881718622763E+27,OR
237.777484979292,698876.544411566,32905.3797342433,233099572.906472,660.493013831366,10483148.1661735,85234311263.1606,123395.174003412,4195792312.31649,32189310654891.8,1294.56630710948,48921358.1088096,1789920536526.37,1.2317846074102E+16,307116.877519604,23309957290.6472,772543455717402,4.7435029054723E+18,2139.99736481362,146764074.326429,11506632020526.7,3.32581844000753E+17,1.83275637769553E+21,616975.870017061,81584850517.2652,5.63312936460606E+15,1.42305087164169E+20,7.09393776855943E+23,3196.78618694381,345943889.483725,45941293770843.6,2.70992613630243E+18,6.04809604639527E+22,2.74833929117315E+26,OR
240.642273954946,1240336.98008839,38388.0206620424,610130368.336549,668.450760985961,18605054.7013258,313023062678.228,143955.077482659,10982346630.0579,162057591641060,1310.16349153248,86823588.6061872,6573484316242.78,8.40980868346399E+16,358288.192845729,61013036833.6549,3.88938219938545E+15,4.36622036716581E+19,2165.78046559451,260470765.818562,42258113461560.7,2.27064834453528E+18,2.26636269575482E+22,719775.387413295,213545628917.792,2.83600785371856E+16,1.30986611014974E+21,1.17580415507877E+25,3235.30168317205,613966805.143752,168719430783565,1.85015791036208E+19,7.4789968959909E+23,6.09637798435812E+27,OR
