@relation 'DigitalCircuitsComboRecognizer-weka.filters.unsupervised.attribute.Remove-R2,28-61-weka.filters.unsupervised.attribute.Remove-R2-26'

@attribute NumStrokes {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}
@attribute class {AND,OR,NAND,NOR,NOT,NOTBUBBLE,XOR,LabelBox}

@data
5,LabelBox
4,LabelBox
5,LabelBox
5,XOR
4,NOT
2,AND
3,NOR
2,OR
4,NOT
3,NAND
5,LabelBox
5,LabelBox
5,LabelBox
7,LabelBox
5,LabelBox
2,AND
4,NOT
2,AND
4,NOT
2,AND
4,NOT
2,OR
2,OR
3,XOR
5,LabelBox
2,AND
2,OR
3,NAND
2,AND
3,OR
2,AND
2,AND
2,AND
3,NOR
3,XOR
2,OR
3,XOR
4,NOT
2,AND
3,NOR
2,OR
4,NOT
3,NAND
4,NOT
3,AND
3,OR
2,AND
4,NOT
2,OR
4,NOT
2,AND
3,XOR
2,AND
3,NOR
3,NAND
3,XOR
3,OR
2,AND
3,OR
1,NOTBUBBLE
4,NAND
2,AND
2,OR
2,AND
4,XOR
3,NOT
2,AND
4,NOR
2,OR
3,NOT
3,NAND
2,AND
2,AND
2,AND
2,NOT
3,NOT
4,NOT
2,OR
3,OR
3,XOR
2,AND
3,NOT
2,AND
2,OR
3,NAND
2,AND
2,OR
2,AND
3,NOR
2,AND
3,XOR
2,OR
3,XOR
2,AND
3,NOR
2,OR
2,NOT
3,NAND
2,NOT
2,AND
2,AND
2,AND
2,OR
2,OR
4,XOR
3,NOT
2,NOT
2,NOT
2,AND
3,OR
3,NAND
3,XOR
2,OR
2,AND
3,NOT
2,OR
3,NAND
1,AND
2,OR
2,AND
3,XOR
2,AND
3,NOT
3,NOR
2,OR
3,NOT
3,NAND
2,AND
3,AND
2,AND
2,OR
2,OR
3,XOR
3,NOT
3,NOT
3,NOT
3,AND
2,OR
3,NOT
2,AND
2,AND
2,NOT
2,OR
2,AND
3,AND
3,NOR
3,XOR
3,NAND
2,OR
3,XOR
2,AND
3,NOR
2,OR
3,NAND
2,NOT
3,NOT
2,AND
2,AND
2,AND
2,OR
2,OR
3,XOR
2,NOT
3,NOT
2,AND
3,NOR
3,XOR
3,NAND
2,OR
2,OR
2,AND
3,NOT
1,AND
1,AND
2,NOT
2,OR
2,AND
3,NAND
3,NOT
3,OR
2,AND
4,NOR
4,XOR
3,NOT
2,AND
2,AND
2,AND
3,OR
3,OR
4,XOR
3,NOT
3,NOT
3,NOT
3,OR
1,NOTBUBBLE
3,OR
2,AND
1,NOTBUBBLE
2,AND
2,AND
2,AND
4,NOR
2,AND
3,NAND
4,XOR
4,OR
3,NAND
2,NOT
3,OR
2,AND
3,NOR
3,XOR
3,NOT
4,XOR
3,OR
3,OR
2,AND
2,AND
2,AND
2,NOT
2,NOT
2,NOT
4,NOR
2,AND
4,XOR
3,NAND
3,OR
2,AND
2,AND
2,OR
2,NOT
5,OR
2,AND
2,AND
1,NOTBUBBLE
3,XOR
2,AND
1,NOTBUBBLE
2,NOR
1,NOTBUBBLE
2,OR
3,NAND
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,OR
1,OR
4,XOR
3,AND
4,OR
1,NOTBUBBLE
1,AND
3,OR
1,AND
1,AND
1,NOTBUBBLE
4,OR
3,XOR
1,OR
1,NOTBUBBLE
1,NOTBUBBLE
4,NOR
1,AND
3,XOR
2,AND
2,OR
2,NOT
3,NAND
2,NOR
2,NOT
3,NOT
2,AND
1,OR
2,XOR
2,OR
2,AND
2,AND
2,NOT
2,NOT
2,OR
3,XOR
2,NAND
3,NOR
1,AND
1,AND
1,OR
1,OR
1,NOTBUBBLE
1,AND
1,AND
1,NOTBUBBLE
1,AND
2,AND
2,NOR
2,OR
2,NOT
3,NAND
5,LabelBox
2,XOR
4,LabelBox
2,LabelBox
3,LabelBox
4,NOT
2,AND
2,AND
2,AND
1,OR
2,OR
2,XOR
2,LabelBox
3,LabelBox
3,NOT
1,LabelBox
2,LabelBox
3,NOT
2,LabelBox
3,NOT
3,LabelBox
3,OR
3,NOT
2,LabelBox
4,LabelBox
2,AND
3,AND
3,LabelBox
3,NOT
2,AND
2,AND
2,AND
2,AND
3,NOR
3,NAND
2,XOR
2,OR
2,LabelBox
3,LabelBox
1,LabelBox
2,LabelBox
3,LabelBox
3,LabelBox
3,XOR
3,NOT
2,AND
3,NOR
2,OR
3,NOT
3,NAND
3,NOT
2,AND
2,OR
3,XOR
2,AND
2,OR
3,NOT
2,AND
3,NOT
2,AND
2,OR
3,NOT
2,AND
3,NOT
3,XOR
2,OR
3,NOT
2,OR
2,AND
2,AND
3,NOT
2,AND
2,AND
2,OR
4,XOR
2,AND
5,NOR
4,OR
6,NOT
5,NAND
3,NOT
2,AND
2,AND
3,AND
4,OR
3,OR
4,XOR
4,NOT
3,NOT
3,NOT
3,AND
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,AND
3,OR
2,AND
3,OR
1,NOTBUBBLE
1,NOTBUBBLE
1,NOTBUBBLE
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
1,NOTBUBBLE
4,XOR
3,OR
4,XOR
2,AND
4,NOR
3,NOT
3,OR
3,NOT
3,NAND
3,AND
3,AND
2,AND
3,NOT
3,NOT
3,NOT
3,OR
3,OR
4,XOR
2,AND
1,NOTBUBBLE
1,NOTBUBBLE
5,NOR
3,AND
5,XOR
3,OR
2,AND
3,OR
2,AND
1,NOTBUBBLE
1,NOTBUBBLE
2,AND
3,OR
3,OR
4,XOR
2,AND
6,NOR
3,OR
3,NAND
4,NOT
5,LabelBox
5,LabelBox
5,LabelBox
4,NOT
5,LabelBox
4,AND
2,AND
2,AND
3,OR
3,OR
4,XOR
5,LabelBox
4,NOT
4,NOT
4,NOT
5,LabelBox
5,LabelBox
6,LabelBox
5,LabelBox
2,AND
3,OR
2,NOTBUBBLE
5,LabelBox
5,LabelBox
5,LabelBox
2,AND
3,AND
3,OR
1,NOTBUBBLE
2,AND
5,LabelBox
4,NOR
5,XOR
4,NAND
3,OR
5,LabelBox
5,LabelBox
6,LabelBox
2,AND
6,LabelBox
4,XOR
4,NOT
2,AND
4,NOR
3,OR
4,NOT
3,NAND
5,LabelBox
2,LabelBox
2,LabelBox
2,LabelBox
2,AND
3,AND
3,AND
3,OR
3,OR
4,XOR
5,LabelBox
4,NOT
4,NOT
4,NOT
5,LabelBox
8,LabelBox
5,LabelBox
5,LabelBox
4,NOR
2,AND
3,NAND
4,XOR
3,OR
2,LabelBox
2,LabelBox
3,LabelBox
2,LabelBox
3,OR
4,NOT
3,AND
2,AND
2,AND
3,OR
2,AND
5,LabelBox
4,NOT
5,LabelBox
2,LabelBox
4,LabelBox
4,LabelBox
3,LabelBox
3,LabelBox
3,NOR
4,XOR
2,AND
3,NOT
2,OR
3,NAND
3,NOT
2,LabelBox
2,AND
2,AND
2,AND
3,LabelBox
3,LabelBox
1,LabelBox
3,LabelBox
3,NOT
3,NOT
3,NOT
2,OR
2,OR
3,XOR
2,LabelBox
2,AND
2,LabelBox
3,LabelBox
3,LabelBox
1,LabelBox
3,NOT
2,AND
1,OR
3,NAND
2,AND
1,OR
3,LabelBox
3,LabelBox
3,LabelBox
2,AND
2,OR
3,NOT
4,XOR
4,NAND
1,OR
4,XOR
2,AND
3,NOT
2,NOR
2,OR
3,NAND
4,NOT
2,AND
3,NOT
2,AND
4,NOT
2,AND
3,NOT
2,OR
2,OR
3,XOR
2,AND
2,NOR
3,NAND
3,XOR
1,OR
3,NOT
1,OR
2,AND
2,AND
3,NOT
2,AND
2,AND
1,OR
4,XOR
3,NOT
3,AND
6,NOR
3,OR
3,NOT
2,AND
2,AND
4,NOT
2,AND
3,NOT
2,AND
3,NOT
3,OR
3,OR
4,XOR
2,AND
3,OR
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,AND
4,OR
2,AND
4,AND
4,NOR
5,XOR
4,NAND
3,OR
4,XOR
2,AND
3,NOT
4,NOR
3,OR
3,NAND
2,AND
3,NOT
3,AND
3,NOT
2,AND
3,NOT
3,OR
3,OR
4,XOR
2,AND
4,NOR
3,NOT
4,XOR
3,OR
3,AND
3,OR
3,NOT
3,AND
2,NOT
2,AND
3,OR
2,AND
5,LabelBox
8,LabelBox
9,LabelBox
3,XOR
3,NOT
2,AND
3,NOR
2,OR
4,NOT
3,NAND
4,LabelBox
6,LabelBox
6,LabelBox
5,LabelBox
5,LabelBox
2,AND
3,NOT
2,AND
4,NOT
2,AND
4,NOT
2,OR
2,OR
3,XOR
5,LabelBox
3,AND
2,OR
5,OR
2,AND
1,NOTBUBBLE
5,AND
1,NOTBUBBLE
2,AND
3,NAND
2,AND
1,NOTBUBBLE
3,XOR
3,OR
5,LabelBox
5,LabelBox
5,LabelBox
3,XOR
4,NOT
2,AND
3,NOR
2,OR
3,NOT
3,NAND
1,LabelBox
4,LabelBox
3,XOR
2,OR
2,OR
2,AND
3,AND
2,AND
3,NOT
3,NOT
3,NOT
2,LabelBox
4,LabelBox
2,LabelBox
1,LabelBox
4,LabelBox
4,LabelBox
2,LabelBox
2,LabelBox
2,OR
3,NAND
2,AND
3,NAND
3,XOR
2,LabelBox
2,LabelBox
2,LabelBox
2,LabelBox
2,AND
3,NOT
2,AND
2,OR
2,AND
1,NOTBUBBLE
2,AND
2,OR
5,LabelBox
4,XOR
4,LabelBox
2,AND
4,NOR
1,NOTBUBBLE
1,NOTBUBBLE
3,LabelBox
3,OR
3,NAND
1,NOTBUBBLE
3,LabelBox
2,AND
2,NOT
3,LabelBox
4,LabelBox
2,AND
2,AND
4,LabelBox
1,NOTBUBBLE
1,NOTBUBBLE
5,LabelBox
3,OR
3,OR
4,XOR
4,LabelBox
3,LabelBox
3,LabelBox
4,LabelBox
2,AND
2,OR
1,NOTBUBBLE
2,AND
2,AND
1,NOTBUBBLE
2,OR
3,AND
4,LabelBox
3,LabelBox
4,LabelBox
6,LabelBox
2,AND
4,NOR
3,NAND
3,XOR
2,OR
4,LabelBox
4,XOR
2,AND
1,NOTBUBBLE
4,NOR
1,NOTBUBBLE
3,OR
3,NAND
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
3,OR
3,OR
3,XOR
2,AND
4,NOR
3,NAND
4,XOR
3,OR
2,AND
2,OR
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,AND
2,OR
2,AND
4,XOR
3,NOT
2,AND
4,NOR
3,OR
3,NOT
3,NAND
3,NOT
3,NOT
3,NOT
2,AND
2,AND
2,AND
3,OR
4,OR
3,XOR
2,AND
4,NOR
3,NAND
4,XOR
5,OR
3,NOT
3,NOT
3,NAND
3,OR
2,AND
2,AND
3,OR
2,AND
4,XOR
2,AND
3,NOT
4,NOR
3,OR
3,NOT
3,NAND
3,NOT
2,AND
3,OR
3,NOT
2,AND
3,NOT
2,AND
3,OR
4,XOR
2,AND
3,OR
3,NOT
2,AND
3,NOT
4,XOR
3,OR
3,OR
3,NOT
2,AND
3,OR
3,NOT
2,AND
2,AND
3,OR
2,AND
3,XOR
4,NOT
2,AND
3,NOR
2,OR
4,NOT
3,NAND
4,NOT
2,AND
2,AND
4,NOT
2,AND
4,NOT
2,OR
2,OR
3,XOR
2,AND
3,NOR
2,AND
3,XOR
2,OR
4,NOT
4,NOT
2,AND
2,OR
2,AND
2,AND
2,OR
2,AND
4,XOR
4,NOT
3,NOR
2,AND
2,OR
4,NOT
3,NAND
2,AND
4,NOT
2,AND
2,NOT
2,AND
3,NOT
3,OR
2,OR
3,XOR
2,AND
3,NOR
2,AND
3,XOR
2,OR
3,NOT
3,NOT
2,AND
2,OR
2,AND
2,AND
2,OR
2,AND
4,XOR
2,AND
3,OR
3,NOT
3,NOT
4,NOR
3,NAND
3,NOT
2,AND
3,NOT
2,AND
2,AND
4,NOT
3,OR
3,OR
4,XOR
2,NOT
2,NOT
2,NOT
2,AND
3,OR
4,XOR
3,NOT
2,AND
3,NOT
3,OR
2,NOT
2,NOT
2,NOT
2,AND
3,OR
2,AND
2,AND
3,OR
2,AND
4,XOR
3,AND
2,OR
3,NOT
3,NAND
3,NOT
3,NOR
2,AND
3,NOT
3,OR
4,XOR
3,NOT
2,AND
2,AND
2,OR
3,NOT
2,NOT
2,NOT
2,NOT
2,AND
4,NOR
3,NAND
4,XOR
3,OR
2,NOT
2,NOT
2,NOT
2,OR
2,AND
2,AND
2,AND
3,OR
2,AND
4,XOR
2,NOT
4,NOR
2,AND
4,OR
2,NOT
3,NAND
2,AND
2,NOT
2,AND
2,NOT
2,AND
2,NOT
3,OR
3,OR
4,XOR
3,OR
2,NOT
6,NOT
2,AND
2,NOT
4,NOR
3,NAND
4,XOR
3,OR
3,NOT
2,AND
3,OR
2,NOT
2,AND
2,AND
3,OR
2,AND
4,XOR
2,NOT
2,AND
4,NOR
3,OR
2,NOT
3,NAND
4,LabelBox
5,LabelBox
5,LabelBox
5,LabelBox
2,NOT
2,AND
3,OR
2,NOT
2,AND
2,NOT
2,AND
3,OR
4,XOR
3,AND
5,NAND
3,NAND
4,XOR
3,AND
3,AND
2,NOT
2,AND
3,OR
2,NOT
2,AND
2,AND
5,OR
2,AND
1,LabelBox
2,NAND
2,NOT
1,OR
1,AND
2,NOR
2,NOT
3,XOR
1,LabelBox
1,LabelBox
1,LabelBox
1,LabelBox
2,XOR
1,OR
1,OR
1,AND
1,AND
1,AND
1,LabelBox
1,LabelBox
1,LabelBox
1,LabelBox
2,NOT
2,NOT
2,NOT
1,AND
1,LabelBox
1,OR
1,OR
2,NOT
1,AND
1,AND
1,AND
3,NOT
1,LabelBox
1,LabelBox
1,LabelBox
1,LabelBox
1,OR
2,XOR
2,NAND
2,NOR
1,AND
1,LabelBox
1,LabelBox
1,LabelBox
1,LabelBox
1,LabelBox
1,LabelBox
2,XOR
2,NOT
1,AND
2,NOR
1,OR
2,NOT
2,NAND
1,LabelBox
1,AND
1,AND
2,AND
3,OR
2,OR
2,XOR
1,LabelBox
1,LabelBox
1,LabelBox
2,NOT
2,NOT
1,LabelBox
1,LabelBox
2,NOT
1,AND
1,OR
1,OR
1,NOTBUBBLE
1,AND
1,AND
1,AND
1,NOTBUBBLE
1,OR
1,OR
2,AND
3,OR
1,AND
1,NOTBUBBLE
1,NOTBUBBLE
1,NOTBUBBLE
1,NOTBUBBLE
1,NOTBUBBLE
3,LabelBox
3,LabelBox
3,LabelBox
3,XOR
2,AND
4,NOT
3,NOR
2,OR
4,NOT
3,NAND
3,LabelBox
4,NOT
2,AND
3,LabelBox
3,LabelBox
3,LabelBox
3,LabelBox
2,OR
5,NOT
2,AND
2,AND
4,NOT
2,OR
3,XOR
3,LabelBox
3,LabelBox
3,LabelBox
3,LabelBox
2,AND
3,NOR
3,NAND
3,XOR
2,OR
2,OR
3,LabelBox
3,LabelBox
3,LabelBox
3,LabelBox
2,AND
2,OR
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,AND
2,OR
2,OR
2,AND
3,LabelBox
4,XOR
3,NOT
2,AND
3,NOR
2,OR
3,NOT
3,NAND
2,AND
4,NOT
2,AND
4,NOT
2,AND
4,NOT
3,OR
4,OR
4,XOR
2,OR
3,XOR
3,NAND
4,NOR
2,AND
2,AND
2,OR
2,OR
3,NOT
2,AND
2,AND
2,AND
3,NOT
3,XOR
3,NOT
2,AND
3,NOR
2,OR
2,NOT
3,NAND
2,AND
3,NOT
3,NOT
2,AND
3,OR
2,OR
3,AND
3,NOT
3,XOR
2,OR
3,XOR
2,AND
4,NOR
3,NAND
2,AND
2,OR
2,OR
2,AND
2,AND
2,AND
4,NOT
3,NOT
3,XOR
4,NOT
2,AND
3,NOR
2,OR
4,NOT
3,NAND
4,NOT
2,AND
2,OR
3,XOR
4,NOT
2,AND
4,NOT
2,AND
2,OR
2,AND
3,NOR
3,NAND
3,XOR
2,OR
2,OR
2,AND
2,AND
1,NOTBUBBLE
2,AND
1,NOTBUBBLE
2,OR
2,AND
2,OR
2,AND
3,NOT
3,XOR
2,AND
3,NOR
2,OR
3,NOT
3,NAND
3,NOT
2,AND
3,NOT
2,AND
3,NOT
2,AND
2,OR
2,OR
3,XOR
2,NOT
2,NOT
2,NOT
2,AND
3,NOR
2,AND
3,XOR
2,OR
2,NOT
2,NOT
2,NOT
2,AND
2,OR
2,AND
2,AND
2,OR
2,AND
3,XOR
3,NAND
2,AND
3,NOR
2,OR
3,NOT
3,NAND
3,NOT
2,AND
3,NOT
2,AND
3,NOT
2,AND
2,OR
2,OR
3,XOR
2,AND
2,OR
3,NOT
2,AND
3,NOT
3,XOR
2,OR
3,NAND
2,AND
2,OR
3,NOT
2,AND
2,AND
2,OR
1,AND
2,LabelBox
2,LabelBox
3,XOR
2,NOT
2,AND
3,NOR
2,LabelBox
2,OR
2,NOT
3,NAND
2,LabelBox
2,LabelBox
3,LabelBox
3,NOT
2,AND
2,LabelBox
2,NOT
2,AND
2,OR
2,LabelBox
2,NOT
2,AND
2,OR
3,XOR
3,LabelBox
2,LabelBox
2,LabelBox
2,LabelBox
2,AND
3,NOT
2,OR
2,NOT
2,AND
2,AND
2,OR
2,AND
2,LabelBox
2,LabelBox
2,LabelBox
3,NAND
2,LabelBox
2,OR
4,NAND
3,XOR
2,OR
2,LabelBox
1,LabelBox
2,LabelBox
3,XOR
2,NOT
2,AND
3,NOR
1,LabelBox
2,OR
2,NOT
3,NAND
1,LabelBox
2,LabelBox
2,LabelBox
2,AND
2,NOT
2,OR
2,AND
1,LabelBox
2,NOT
2,AND
1,LabelBox
2,NOT
2,OR
4,XOR
1,LabelBox
2,LabelBox
2,LabelBox
1,LabelBox
2,AND
2,OR
2,AND
2,NOT
2,NOT
3,XOR
2,OR
2,LabelBox
2,LabelBox
2,LabelBox
2,AND
2,NOT
2,OR
2,NOT
2,AND
1,AND
2,OR
2,AND
4,XOR
4,NOT
2,AND
3,OR
4,NOR
4,NOT
3,NAND
4,NOT
4,NOT
4,NOT
2,AND
2,AND
2,AND
3,OR
3,OR
4,XOR
2,AND
4,NOT
3,OR
4,NOT
2,AND
2,AND
3,OR
2,AND
2,AND
4,NOR
3,NAND
4,XOR
3,OR
4,XOR
4,NOT
4,NOR
2,AND
3,OR
4,NOT
3,NAND
2,AND
4,NOT
2,AND
4,NOT
2,AND
4,NOT
3,OR
3,OR
5,XOR
2,AND
3,OR
2,AND
3,XOR
3,OR
3,NOT
2,AND
3,OR
3,NOT
2,AND
2,AND
3,OR
2,AND
3,XOR
2,AND
2,NOT
3,NOR
2,OR
2,NOT
3,NAND
2,AND
2,NOT
2,AND
2,NOT
2,AND
2,NOT
2,OR
3,XOR
2,OR
2,AND
3,NOR
3,NAND
4,XOR
2,OR
2,OR
2,NOT
2,AND
2,OR
1,NOTBUBBLE
2,AND
2,AND
3,OR
2,OR
2,AND
3,XOR
5,NOT
2,AND
4,NOR
2,OR
3,NAND
4,NOT
3,AND
4,NOT
2,AND
4,NOT
2,AND
4,NOT
2,OR
2,OR
3,XOR
1,AND
3,NOR
2,NAND
3,XOR
2,OR
3,NOT
3,NOT
4,NOT
3,AND
3,OR
2,AND
2,AND
2,OR
2,AND
3,XOR
2,AND
2,OR
3,NOT
3,NAND
3,NOT
3,NOR
2,AND
3,NOT
2,AND
3,NOT
2,AND
3,NOT
3,OR
2,OR
3,XOR
3,NOT
3,AND
2,OR
3,NOT
2,AND
2,AND
2,OR
2,AND
2,AND
3,NOR
4,XOR
3,NOT
3,NOT
2,AND
2,OR
3,XOR
2,AND
3,XOR
3,NOT
3,NAND
3,NOT
3,NOR
3,AND
3,NOT
2,AND
3,NOT
2,AND
3,NOT
2,OR
2,OR
3,XOR
2,AND
2,OR
3,NOT
2,AND
3,XOR
2,OR
4,OR
3,NOT
2,AND
2,OR
2,AND
3,NOT
2,AND
3,AND
2,OR
