=== Run information ===	

Scheme:       weka.classifiers.bayes.NaiveBayes 	
Relation:     DigitalCircuitsComboRecognizer-weka.filters.unsupervised.attribute.Remove-R2	28-61
Instances:    1640	
Attributes:   27	
              NumStrokes	
              Image_AND	
              Image_OR	
              Image_NAND	
              Image_NOR	
              Image_NOT	
              Image_NOTBUBBLE	
              Image_XOR	
              Image_LabelBox	
              Rubine_BackLine	
              Rubine_FrontArc
              Rubine_BackArc
              Rubine_TopArc
              Rubine_BottomArc
              Rubine_Bubble
              Rubine_TopLine
              Rubine_BottomLine
              Rubine_Triangle
              Rubine_GreaterThan
              Rubine_TouchUp
              Rubine_Junk
              Rubine_LabelBoxOther
              Rubine_Not_V
              Rubine_Not_Hat
              Rubine_Entire_OR
              Rubine_Entire_AND
              class											
Test mode:    10-fold cross-validation											

=== Predictions on test data ===											

 inst#	    actual	 predicted	 error	 probability distribution							
				AND	OR	NAND	NOR	NOT	NOTBUBBLE	XOR	LabelBox
1	5:NOT	5:NOT		0	0	0.089	0	0.91	0	0	0.001
2	5:NOT	5:NOT		0	0	0	0	1	0	0	0
3	5:NOT	5:NOT		0	0	0	0	1	0	0	0
4	5:NOT	5:NOT		0	0	0	0	1	0	0	0
5	5:NOT	5:NOT		0	0	0	0	1	0	0	0
6	5:NOT	5:NOT		0.001	0	0	0	0.508	0	0	0.49
7	5:NOT	5:NOT		0	0	0	0	1	0	0	0
8	5:NOT	5:NOT		0	0	0	0	1	0	0	0
9	5:NOT	5:NOT		0	0	0	0	1	0	0	0
10	5:NOT	5:NOT		0	0	0	0	1	0	0	0
11	5:NOT	5:NOT		0	0	0	0	1	0	0	0
12	5:NOT	5:NOT		0	0	0	0	1	0	0	0
13	5:NOT	5:NOT		0	0	0	0	0.997	0	0	0.003
14	5:NOT	5:NOT		0	0	0	0	1	0	0	0
15	5:NOT	5:NOT		0	0	0	0	1	0	0	0
16	5:NOT	5:NOT		0	0	0.001	0	0.999	0	0	0.001
17	5:NOT	5:NOT		0	0	0	0	1	0	0	0
18	5:NOT	5:NOT		0	0	0	0	1	0	0	0
19	5:NOT	3:NAND	+	0.013	0.021	0.82	0	0.127	0	0	0.019
20	5:NOT	5:NOT		0	0	0	0	1	0	0	0
21	5:NOT	5:NOT		0	0	0	0	1	0	0	0
22	5:NOT	5:NOT		0	0	0	0	1	0	0	0
23	5:NOT	8:LabelBox	+	0.104	0.232	0	0.018	0.023	0	0	0.623
24	5:NOT	5:NOT		0	0	0	0	1	0	0	0
25	5:NOT	5:NOT		0	0	0	0	1	0	0	0
26	5:NOT	5:NOT		0	0	0	0	1	0	0	0
27	5:NOT	5:NOT		0	0	0	0	1	0	0	0
28	5:NOT	5:NOT		0	0	0	0	1	0	0	0
29	5:NOT	5:NOT		0	0	0	0	1	0	0	0
30	5:NOT	5:NOT		0	0	0	0	1	0	0	0
31	5:NOT	5:NOT		0	0	0	0	1	0	0	0
32	5:NOT	5:NOT		0	0	0	0	0.999	0	0	0.001
33	2:OR	2:OR		0	1	0	0	0	0	0	0
34	2:OR	2:OR		0	0.501	0	0.006	0.1	0	0.004	0.389
35	2:OR	2:OR		0.033	0.516	0	0	0	0.003	0	0.448
36	2:OR	2:OR		0	1	0	0	0	0	0	0
